event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM43217,31/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Bakool,Waajid,,Waajid,3.8096,43.2463,2,Al Furqaan; Calamada,National,"On 31 December 2023, Al Shabaab carried out a hit-and-run attack against government security forces (SNA) convoy near Waajid town (Waajid, Bakool). There were no casualties. Al Shabaab claimed responsibility.",0,,1704766941
SOM43221,31/12/2023,2023,1,Political violence,Violence against civilians,Attack,Al Shabaab,,2,Civilians (Somalia),Labor Group (Somalia),7,27,Civilian targeting,706,Eastern Africa,Somalia,Gedo,Luuq,,Garow,3.9469,43.0318,2,Undisclosed Source,Local partner-Other,"On 31 December 2023, Al Shabaab ambushed a motorbike near Garow village (Luuq, Gedo). The motorbike was heading to Waajid town. A motorcyclist was killed while a civilian passenger was injured in the attack.",1,,1704766941
SOM43222,31/12/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2021-),,8,Al Shabaab,,2,28,,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Awdheegle,1.9833,44.8333,2,Caasimada; Goobjoob; Hiiraan (Somalia); Radio Kulmiye; Radio Mogadishu; Radio Risala; VOA,National-International,"On 31 December 2023, US forces conducted an airstrike against Al Shabaab position in Nuun-Garre village near Awdheegle village (Afgooye, Lower Shabelle). Two senior Al Shabaab militants were killed.",2,,1704766941
SOM43223,31/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,K50,2.0054,44.9872,1,Al Furqaan; Calamada,Subnational-National,"On 31 December 2023, overnight, Al Shabaab carried out a hit-and-run attack against government security forces (SNA) at a defensive base in K50 village (Afgooye, Lower Shabelle). The attack was initiated with RPGs and followed by exchange of gun fire. There were no casualties. Al Shabaab claimed responsibility.",0,,1704766941
SOM43225,31/12/2023,2023,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-),,1,Al Shabaab,,2,12,,706,Eastern Africa,Somalia,Mudug,Xarardheere,,Caad,5.0116,47.9918,2,Undisclosed Source,Local partner-Other,"On 31 December 2023, government security forces (SNA) conducted an operation and captured two Al Shabaab militants while they were attempting to plant an IED on a small road near Caad village of Caad village (Xarardheere, Mudug). There were no casualties.",0,,1704766941
SOM43224,31/12/2023,2023,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-),Habar Gedir Clan Militia (Somalia),1,Al Shabaab,,2,12,,706,Eastern Africa,Somalia,Mudug,Xarardheere,,Caad,5.0116,47.9918,2,Radio Risala,National,"On 31 December 2023, government security forces (SNA) and Habar Gedir clan militia in a joint operation in the vicinity of Caad village (Xarardheere, Mudug). The operation was supported by an airstrike. One Al Shabab fighter was killed and several others were injured.",1,,1710804488
SOM43219,31/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Waaberi,2.0195,45.31,1,Undisclosed Source,Local partner-Other,"On 31 December 2023, suspected Al Shabaab shot and killed a government soldier (SNA) (assumed on duty) in Mogadishu - Waaberi (Banadir).",1,,1714445659
SOM43220,31/12/2023,2023,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),,7,37,Civilian targeting,706,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Waaberi,2.0195,45.31,1,Undisclosed Source,Local partner-Other,"On 31 December 2023, unidentified gunmen shot and injured a civilian in Mogadishu - Waaberi (Banadir). The motive of the attack was unknown.",0,,1714445659
SOM43218,31/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Mogadishu - Daynile,2.0581,45.3003,1,Calamada; Undisclosed Source,Local partner-Other,"On 31 December 2023, Al Shabaab carried out an attack on government security forces (SNA) checkpoint at the Tabeellaha neighborhood in Mogadishu - Daynile (Banadir). Two people were killed including a civilian. Al Shabaab claimed responsibility.",1,,1716850551
SOM43212,30/12/2023,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Al Shabaab,,2,Police Forces of Somalia (2022-) Jubaland Police Force,Civilians (Somalia),1,12,,706,Eastern Africa,Somalia,Lower Juba,Kismaayo,,Bar-Sanguun,-0.4876,42.1839,1,Undisclosed Source,Local partner-Other,"Property destruction: On 30 December 2023, Al Shabaab demolished a primary school and one Jubaland police post using RPGs at Bar-Sanguun village (Kismaayo, Lower Juba).",0,,1704766941
SOM43214,30/12/2023,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Middle Shabelle,Balcad,,Qalimow,2.5878,45.3695,1,Calamada; Undisclosed Source,Local partner-Other,"On 30 December 2023, an IED planted by Al Shabaab detonated, targeting government security forces (SNA) in Qalimow village (Balcad, Middle Shabelle). The security forces discovered another IED and arrested one militant. There were no casualties. Al Shabaab claimed responsibility.",0,,1704766941
SOM43215,30/12/2023,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Cadale,2.7603,46.3222,2,Calamada,National,"On 30 December 2023, an IED planted by Al Shabaab detonated, targeting a covoy of government security forces (SNA) near Cadale town (Cadale, Middle Shabelle). There were no fatalities one soldier was injured. Al Shabaab claimed responsibility.",0,,1704766941
SOM43216,30/12/2023,2023,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-) Puntland Security Force,,1,Military Forces of Somalia (2022-) Puntland Security Force,,1,11,,706,Eastern Africa,Somalia,Nugaal,Garoowe,,Garowe,8.4064,48.4819,1,Undisclosed Source,Local partner-Other,"On 30 December 2023, two groups of Puntland security forces clashed at the ex-East Garowe checkpoint in Garowe town (Garoowe, Nugaal). One of the forces were preparing to welcome a presidential candidate at Garowe airport. There were no fatalities. One person was injured.",0,,1704766941
SOM43211,30/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Hawl Wadaag,2.048,45.32,1,Calamada,National,"On 30 December 2023, overnight, Al Shabaab threw a hand grenade against government security forces (SNA) at a checkpoint in Mogadishu - Hawl Wadaag (Banadir). The security forces reacted with gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1714445659
SOM43213,30/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Jazeera,1.9501,45.1783,1,Calamada,Subnational,"On 30 December 2023, overnight, Al Shabaab carried out a hit-and-run attack against government security forces (SNA) at a defensive base in Jazeera village (Afgooye, Lower Shabelle). The clash was initiated with RPGs and followed by exchange of gun fire from both sides. There were no casualties. Al Shabaab claimed responsibility.",0,,1714445659
SOM43209,29/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Bay,Qansax Dheere,,Qansax Dheere,2.8712,43.0043,1,Calamada,Subnational,"On 29 December 2023, overnight, Al Shabaab carried out a hit-and-run attack against government security forces (SNA) at a base in Qansax Dheere town (Qansax Dheere, Bay). Both sides exchanged gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1704766941
SOM43207,29/12/2023,2023,1,Political violence,Violence against civilians,Attack,Al Shabaab,,2,Civilians (Somalia),Former Government of Somalia (2022-),7,27,Civilian targeting,706,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Wadajir,2.0462,45.3341,1,Caasimada; Calamada; Radio Dalsan; Shabelle Media Network,Subnational-National,"On 29 December 2023, overnight, Al Shabaab shot and killed a former member of parliament in Mogadishu - Wadajir (Banadir). The victim was leaving mosque to his home. Al Shabaab claimed responsibility.",1,,1714445659
SOM43208,29/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Bay,Baydhaba,,Gufguduud Burey,3.315,43.47,1,Calamada,Subnational,"On 29 December 2023, overnight, Al Shabaab carried out a hit-and-run attack against government security forces (SNA) at a base in Gufguduud Burey village (Baydhaba, Bay). Both sides exchanged gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1721086511
SOM43210,29/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda),,8,28,,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,K60,1.9243,44.9231,1,Calamada,Subnational,"On 29 December 2023, overnight, Al Shabaab carried out a hit-and-run attack against ATMIS UPDF troops at a base in K60 village (Afgooye, Lower Shabelle). Both sides exchanged gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1724714233
SOM43201,28/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Bay,Diinsoor,,Diinsoor,2.4074,42.9766,1,Calamada,Subnational,"On 28 December 2023, overnight, Al Shabaab carried out an attack against government security forces (SNA) Xero Kowaad base in Diinsoor town (Diinsoor, Bay). Both sides exchanged heavy gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1704766941
SOM43199,28/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Heliwa,2.0844,45.39,1,Calamada,National,"On 28 December 2023, Al Shabaab threw a hand grenade against government security forces (SNA) checkpoint at the Al Cadala neighborhood in Mogadishu - Heliwa (Banadir). The security forces reacted with gunfire after the blast. There were no casualties. Al Shabaab claimed responsibility.",0,,1716850551
SOM43200,28/12/2023,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Mogadishu - Hodan,2.0448,45.3026,1,Calamada; Undisclosed Source,Local partner-Other,"On 28 December 2023, an IED planted by Al Shabaab detonated, targeting government security forces (SNA) in a checkpoint NBC Mall near the Black Sea in Mogadishu - Hodan (Banadir). There were no fatalities. Some soldiers were injured. Al Shabaab claimed responsibility.",0,,1716850551
SOM43203,28/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda),,8,28,,706,Eastern Africa,Somalia,Lower Shabelle,Marka,,Buufow Bacaad,1.7493,44.7437,1,Calamada,Subnational,"On 28 December 2023, overnight, Al Shabaab carried out an attack against ATMIS UPDF troops at a base in Buufow Bacaad village (Marka, Lower Shabelle). Both sides exchanged gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1721086461
SOM43204,28/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Lower Shabelle,Marka,,Buufow Bacaad,1.7493,44.7437,1,Calamada,Subnational,"On 28 December 2023, overnight, Al Shabaab launched an attack against government security forces (SNA) at a base in Buufow Bacaad village (Marka, Lower Shabelle). Both sides exchanged gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1721086461
SOM43205,28/12/2023,2023,1,Political violence,Battles,Armed clash,Al Shabaab,,2,ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda),,8,28,,706,Eastern Africa,Somalia,Lower Shabelle,Marka,,Janaale,1.8,44.7,1,Calamada,Subnational,"On 28 December 2023, overnight, Al Shabaab launched an attack against ATMIS UPDF troops at a base in Janaale town (Marka, Lower Shabelle). The attack was initiated with RPGs and followed by an exchanged gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1721086461
