Region,events_2022-01,events_2022-02,events_2022-03,events_2022-04,events_2022-05,events_2022-06,events_2022-07,events_2022-08,events_2022-09,events_2022-10,events_2022-11,events_2022-12,events_2023-01,events_2023-02,events_2023-03,events_2023-04,events_2023-05,events_2023-06,events_2023-07,events_2023-08,events_2023-09,events_2023-10,events_2023-11,events_2023-12,fatalities_2022-01,fatalities_2022-02,fatalities_2022-03,fatalities_2022-04,fatalities_2022-05,fatalities_2022-06,fatalities_2022-07,fatalities_2022-08,fatalities_2022-09,fatalities_2022-10,fatalities_2022-11,fatalities_2022-12,fatalities_2023-01,fatalities_2023-02,fatalities_2023-03,fatalities_2023-04,fatalities_2023-05,fatalities_2023-06,fatalities_2023-07,fatalities_2023-08,fatalities_2023-09,fatalities_2023-10,fatalities_2023-11,fatalities_2023-12,total_events_2022,total_fatalities_2022,total_events_2023,total_fatalities_2023,total_events,total_fatalities
Awdal,2,1,1,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,8,5,5,1,13,6
Bakool,12,6,8,10,4,3,17,11,8,11,10,8,10,12,9,6,9,5,10,13,24,13,6,10,9,1,0,204,6,0,164,11,12,5,14,1,4,3,4,0,1,1,33,29,392,17,5,5,108,427,127,494,235,921
Banadir,32,33,32,36,41,22,25,39,28,46,21,42,26,31,31,17,33,15,21,15,19,15,8,28,31,14,27,26,28,10,8,45,33,35,25,29,43,48,21,17,6,10,15,40,34,14,7,17,397,311,259,272,656,583
Bari,4,8,7,1,4,7,4,4,3,2,2,3,10,5,4,6,6,2,5,6,2,4,10,5,3,7,9,0,0,3,0,6,4,3,16,2,19,6,41,1,2,0,3,2,0,0,8,2,49,53,65,84,114,137
Bay,17,23,16,23,14,25,13,34,31,18,25,24,21,26,30,26,21,19,35,28,30,16,13,33,26,4,20,7,7,11,22,27,33,9,75,29,36,70,20,9,5,9,121,11,15,4,2,30,263,270,298,332,561,602
Galgaduud,23,7,11,9,12,10,12,19,33,12,18,18,29,8,20,26,12,21,21,60,25,18,16,15,58,14,10,4,11,101,65,68,153,3,124,210,64,6,20,144,291,54,147,379,160,101,59,11,184,821,271,1436,455,2257
Gedo,9,4,6,7,5,15,8,8,9,8,6,4,6,11,10,5,1,7,8,12,16,8,2,5,3,2,14,0,7,6,5,12,35,4,2,5,1,5,18,2,1,17,13,0,16,3,0,2,89,95,91,78,180,173
Hiraan,21,16,28,18,24,21,18,33,62,26,25,28,43,27,28,27,14,23,28,30,19,20,8,14,43,66,286,36,21,79,26,160,349,88,74,104,56,243,68,75,28,10,8,79,71,55,6,5,320,1332,281,704,601,2036
Lower Juba,26,26,35,37,28,22,26,47,40,35,41,26,26,18,22,25,12,14,37,19,27,17,16,17,14,68,48,26,9,20,13,21,36,34,56,58,19,17,52,15,5,84,112,71,81,17,69,191,389,403,250,733,639,1136
Lower Shabelle,76,82,60,102,127,102,89,104,95,92,103,113,73,74,50,52,76,99,62,67,77,82,92,100,64,102,69,49,59,72,94,130,142,194,146,42,228,104,32,64,159,94,100,95,124,215,96,109,1145,1163,904,1420,2049,2583
Middle Juba,1,2,0,1,0,0,1,0,2,1,2,1,1,1,3,2,6,6,1,4,4,7,2,4,1,5,0,0,0,0,0,0,6,6,1,0,1,3,7,15,5,7,0,4,12,2,33,12,11,19,41,101,52,120
Middle Shabelle,28,16,18,27,20,22,17,14,14,49,36,33,10,15,16,13,10,17,18,19,15,10,10,18,142,117,65,27,31,15,39,20,49,339,250,383,110,100,121,61,10,7,155,48,73,21,11,24,294,1477,171,741,465,2218
Mudug,5,4,8,7,5,2,6,1,10,8,3,7,25,15,5,7,4,6,9,2,24,8,9,29,4,3,5,1,4,2,7,1,8,9,5,10,213,416,7,159,2,5,42,1,233,143,5,268,66,59,143,1494,209,1553
Nugaal,3,1,0,3,0,3,2,1,0,3,2,2,0,5,2,2,6,8,2,3,3,2,9,4,2,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,7,30,3,0,2,0,0,0,20,8,46,44,66,52
Sanaag,1,2,1,0,0,1,0,2,0,1,2,0,3,1,0,4,2,0,1,6,1,0,4,4,2,0,4,0,0,1,0,1,0,1,4,0,2,0,0,3,0,0,0,25,3,0,1,10,10,13,26,44,36,57
Sool,2,2,1,3,4,2,0,3,0,2,2,9,9,19,4,8,9,10,10,10,2,3,5,4,2,20,1,5,0,2,0,2,0,0,2,20,56,125,35,1,2,38,20,23,14,6,1,5,30,54,93,326,123,380
Togdheer,2,0,1,1,1,4,1,0,0,2,3,0,2,2,1,2,4,3,5,6,8,2,10,1,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,3,1,3,0,8,0,39,0,15,6,46,54,61,60
Woqooyi Galbeed,1,3,1,3,4,1,3,0,1,2,4,2,0,1,1,1,0,1,1,3,3,2,1,2,0,0,1,0,1,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,6,25,11,16,8,41,19
