PreviousRegion,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total_origin
Awdal,307,698,477,704,288,922,508,1840,336,453,893,634,8060
Bakool,6588,5052,7682,3125,6006,8964,44367,15269,15673,41375,31481,24267,209849
Banadir,3024,54,9,208,23,19,0,13,174,52,118,172,3866
Bari,1332,1476,1755,1767,1727,4196,7306,11902,2281,16936,2198,1229,54105
Bay,70014,43210,26372,10582,7797,26617,41531,32480,19266,17264,23246,27562,345941
Galguduud,117914,14940,1675,3747,61227,859,498,597,33590,1529,9912,1669,248157
Gedo,8793,4099,4137,1910,6474,1896,3885,2510,5687,4708,2745,2320,49164
Hiraan,818,360,169,115,498,745,77,182535,57632,14334,1221,82,258586
Lower Juba,1834,1812,5761,1295,1466,1656,1526,15183,15916,10001,1999,1136,59585
Lower Shabelle,20071,23105,10150,4844,6425,46848,13486,23783,13018,58180,31111,6305,257326
Middle Juba,711,2679,2157,739,1218,1906,1591,1183,1267,1948,3301,3398,22098
Middle Shabelle,3093,4671,2009,1455,1534,1124,4567,1559,1526,15296,16517,10592,63943
Mudug,79894,2887,8248,11018,1773,6691,2006,2147,1275,3280,2969,1249,123437
Nugaal,925,1167,786,888,350,1294,497,320,2279,1065,2482,1558,13611
Sanaag,1069,888,1020,1067,2065,2984,1978,850,637,2404,1192,501,16655
Sool,805,3542,761,638,446,3475,823,3663,1678,1691,354,1298,19174
Togdheer,834,26139,11066,2115,8659,5399,282,3090,1136,1814,772,642,61948
Woqooyi Galbeed,34,37,154,22,23,60,60,120,115,125,146,69,965
