year,1,2,3,4,5,6,7,8,9,10,11,12
1983,1.928554723,1.782036977,5.398533076,49.72561119,61.24347199,15.18810545,14.2508755,10.49105924,11.11405486,26.38203096,12.00726791,6.615568479
1984,1.658516223,1.576838307,5.716562523,44.5096522,52.43468947,20.26285772,12.37928918,5.89014598,15.89243132,30.65909716,29.9521351,6.460048539
1985,1.777559251,1.646866079,20.71230212,78.7686815,57.76329186,7.077300307,13.66769569,9.944174316,12.60878881,25.44337406,23.83033204,5.075479287
1986,1.697153623,1.664740477,8.301366202,91.97852394,64.20702509,15.49150569,10.69223335,7.384495853,13.14213818,16.46837129,19.11673485,8.195374646
1987,2.071808228,1.471275889,9.118462566,37.49976807,139.683602,12.1980745,9.080742399,12.98892701,11.72647345,57.91495656,21.2335294,4.627851074
1988,2.204884423,1.745343841,11.88792618,119.9832781,20.44053545,18.34903548,12.88503704,8.704094807,20.13237478,24.79268811,16.72491431,7.188123861
1989,1.993254992,1.653607869,15.01124817,72.49956007,63.63742889,10.99454273,10.0864305,8.461801721,18.40380601,56.70169296,53.27341588,9.209004956
1990,1.769380998,2.764971969,22.08017351,111.4813505,28.12278388,7.118596249,9.541127436,7.802858566,10.61677448,43.49210565,25.69643152,19.0995998
1991,1.815114042,1.606844774,18.02468588,54.88003503,82.8680995,9.248376602,19.3004088,8.459768602,10.55352735,22.62537053,11.22085803,11.23511891
1992,2.034643733,1.701945289,7.409045638,41.87875703,43.31933457,13.93884637,14.06272818,9.588922177,14.08295672,32.06812785,30.89085845,20.99606135
1993,2.611989759,1.662117235,6.840237548,38.30613602,84.83135183,11.63803879,10.45995785,8.20971667,11.4537475,43.95107616,22.1708663,8.842010779
1994,1.73205127,1.574743967,7.099421692,75.40397013,76.93626011,10.90137077,12.27590648,9.247408444,15.63784737,59.22874008,65.48041854,7.920248482
1995,1.738329663,1.682773533,16.31909832,72.74875677,41.40504474,10.9635581,14.57166171,10.27791325,11.36465735,54.31066199,21.27029072,10.40059869
1996,2.099082469,1.68446596,11.75885806,41.72810295,76.99637532,12.28452848,12.20197467,9.064406055,11.87966507,18.48768309,22.3567886,4.554929739
